Case No.	u10 (m/s)	T (C)	q* (W/m2)	tau (N/m2)	hb (m)	taut (s)	tauc (s)	Da
1	3.6	7.0	184	0.051	30	1419.3	188.4	7.5335
2	3.6	10.3	103	0.051	30	874.7	122.8	7.1229
3	3.6	10.3	184	0.051	30	1658.7	122.8	13.5070
4	3.6	13.6	-59	0.051	113	518.2	82.8	6.2588
5	3.6	13.6	103	0.051	30	847.4	82.8	10.2344
6	3.6	13.6	184	0.051	30	1689.5	82.8	20.4045
7	3.6	16.9	22	0.051	30	680.0	56.8	11.9723
8	3.6	20.2	22	0.051	30	693.4	41.5	16.7091
9	3.6	20.2	184	0.051	30	1423.9	41.5	34.3098
10	3.6	23.4	-59	0.051	30	517.8	30.8	16.8108
11	3.6	23.4	-59	0.051	72	508.4	30.8	16.5056
12	3.6	23.4	22	0.051	30	643.0	30.8	20.8768
13	3.6	23.4	103	0.051	30	698.8	30.8	22.6897
14	3.6	23.4	184	0.051	30	1358.6	30.8	44.1102
15	3.6	26.7	-59	0.051	30	525.1	23.5	22.3448
16	3.6	26.7	-59	0.051	72	521.1	23.5	22.1753
17	3.6	26.7	22	0.051	30	678.6	23.5	28.8748
18	3.6	26.7	22	0.051	72	649.6	23.5	27.6419
19	3.6	26.7	103	0.051	30	809.9	23.5	34.4621
20	3.6	26.7	184	0.051	30	1660.9	23.5	70.6759
21	3.6	30.0	22	0.051	30	609.8	18.4	33.1417
22	3.6	30.0	103	0.051	30	791.3	18.4	43.0043
23	3.6	30.0	184	0.051	30	1235.0	18.4	67.1193
24	4.8	3.7	103	0.051	30	521.4	299.4	1.7414
25	4.8	3.7	103	0.127	30	514.1	299.4	1.7170
26	4.8	3.7	184	0.051	30	801.2	299.4	2.6759
27	4.8	7.0	103	0.051	30	523.8	188.4	2.7805
28	4.8	7.0	184	0.051	30	825.5	188.4	4.3817
29	4.8	7.0	184	0.279	30	946.3	188.4	5.0229
30	4.8	10.3	-59	0.051	113	433.6	122.8	3.5312
31	4.8	10.3	103	0.051	30	532.6	122.8	4.3370
32	4.8	10.3	103	0.279	30	588.0	122.8	4.7885
33	4.8	10.3	184	0.051	30	700.5	122.8	5.7044
34	4.8	10.3	184	0.127	30	652.0	122.8	5.3098
35	4.8	13.6	-59	0.051	113	437.2	82.8	5.2803
36	4.8	13.6	22	0.051	30	537.1	82.8	6.4870
37	4.8	13.6	22	0.051	72	523.1	82.8	6.3178
38	4.8	13.6	103	0.051	30	530.1	82.8	6.4026
