Case No.	hb (m)	qstar (W/m2)	S	T (C)	tau (N/m2)	u10 (m/s)	dfco2 (uatm)
0	56.89	35.68	34.92	21.50	0.09	7.57	-7.60
1	31.80	-56.94	31.88	2.67	0.16	8.61	-17.44
2	31.80	-56.94	33.56	2.67	0.10	7.08	-17.44
3	31.80	-56.94	33.56	2.67	0.16	8.61	-17.44
4	31.80	14.20	31.88	2.67	0.10	7.08	-47.71
5	31.80	14.20	31.88	2.67	0.10	8.61	-47.71
6	31.80	14.20	31.88	2.67	0.10	8.61	-17.44
7	31.80	14.20	31.88	2.67	0.16	7.08	-47.71
8	31.80	14.20	31.88	2.67	0.16	7.08	12.83
9	31.80	14.20	31.88	2.67	0.16	8.61	-47.71
10	31.80	14.20	31.88	2.67	0.16	8.61	-17.44
11	31.80	14.20	31.88	2.67	0.16	8.61	12.83
12	31.80	14.20	33.56	2.67	0.10	7.08	-17.44
13	31.80	14.20	33.56	2.67	0.16	7.08	-17.44
14	31.80	14.20	33.56	2.67	0.16	8.61	-47.71
15	31.80	14.20	33.56	2.67	0.16	8.61	-17.44
16	31.80	14.20	33.56	2.67	0.16	8.61	12.83
17	31.80	14.20	33.56	2.67	0.21	8.61	-47.71
18	31.80	14.20	33.56	2.67	0.21	8.61	-17.44
19	31.80	85.33	31.88	2.67	0.16	8.61	-47.71
20	31.80	85.33	31.88	2.67	0.21	8.61	-47.71
21	31.80	85.33	33.56	2.67	0.10	7.08	-47.71
22	31.80	85.33	33.56	2.67	0.16	8.61	-47.71
23	31.80	85.33	33.56	2.67	0.21	8.61	-47.71
24	31.80	85.33	33.56	2.67	0.26	8.61	-47.71
25	73.19	-56.94	33.56	2.67	0.16	8.61	-47.71
26	73.19	-56.94	33.56	2.67	0.16	8.61	-17.44
27	73.19	14.20	31.88	2.67	0.21	8.61	-17.44
28	73.19	14.20	33.56	2.67	0.16	8.61	-47.71
29	73.19	14.20	33.56	2.67	0.16	8.61	-17.44
30	73.19	14.20	33.56	2.67	0.16	8.61	12.83
31	73.19	14.20	33.56	2.67	0.16	10.14	-17.44
32	73.19	14.20	33.56	2.67	0.16	10.14	12.83
33	73.19	14.20	33.56	2.67	0.21	8.61	-47.71
34	73.19	14.20	33.56	2.67	0.21	8.61	-17.44
35	73.19	14.20	33.56	2.67	0.21	10.14	-17.44
36	73.19	14.20	33.56	2.67	0.21	10.14	12.83
37	73.19	14.20	33.56	2.67	0.21	11.67	12.83
38	73.19	14.20	33.56	2.67	0.26	10.14	-17.44
39	73.19	14.20	33.56	2.67	0.26	10.14	12.83
40	73.19	14.20	33.56	2.67	0.26	11.67	-17.44
41	73.19	14.20	33.56	2.67	0.26	11.67	12.83
42	73.19	14.20	33.56	2.67	0.32	11.67	-17.44
43	73.19	14.20	33.56	2.67	0.32	11.67	12.83
44	73.19	14.20	35.25	2.67	0.10	8.61	-47.71
45	73.19	14.20	35.25	2.67	0.16	8.61	-47.71
46	73.19	14.20	35.25	2.67	0.16	10.14	12.83
47	73.19	14.20	35.25	2.67	0.21	10.14	-17.44
48	73.19	14.20	35.25	2.67	0.21	10.14	12.83
49	73.19	14.20	35.25	2.67	0.26	10.14	-17.44
50	73.19	14.20	35.25	2.67	0.26	10.14	12.83
51	73.19	14.20	35.25	2.67	0.26	11.67	12.83
52	73.19	85.33	33.56	2.67	0.10	8.61	-17.44
53	73.19	85.33	33.56	2.67	0.10	8.61	12.83
54	73.19	85.33	33.56	2.67	0.16	8.61	-17.44
55	73.19	85.33	33.56	2.67	0.16	8.61	12.83
56	73.19	85.33	33.56	2.67	0.16	10.14	-17.44
57	73.19	85.33	33.56	2.67	0.16	10.14	12.83
58	73.19	85.33	33.56	2.67	0.21	10.14	-17.44
59	73.19	85.33	33.56	2.67	0.21	10.14	12.83
60	73.19	85.33	33.56	2.67	0.21	11.67	12.83
61	73.19	85.33	33.56	2.67	0.26	10.14	-17.44
62	73.19	85.33	33.56	2.67	0.26	10.14	12.83
63	73.19	85.33	33.56	2.67	0.26	11.67	-17.44
64	73.19	85.33	33.56	2.67	0.26	11.67	12.83
65	73.19	85.33	35.25	2.67	0.21	10.14	-17.44
66	73.19	85.33	35.25	2.67	0.21	10.14	12.83
67	73.19	85.33	35.25	2.67	0.21	11.67	12.83
68	73.19	85.33	35.25	2.67	0.26	11.67	-17.44
69	114.57	-56.94	35.25	2.67	0.16	10.14	-17.44
70	114.57	-56.94	35.25	2.67	0.16	8.61	-47.71
71	114.57	-56.94	35.25	2.67	0.21	8.61	-47.71
72	114.57	14.20	33.56	2.67	0.16	8.61	-17.44
73	114.57	14.20	33.56	2.67	0.16	8.61	12.83
74	114.57	14.20	33.56	2.67	0.16	10.14	-17.44
75	114.57	14.20	33.56	2.67	0.16	10.14	12.83
76	114.57	14.20	33.56	2.67	0.21	8.61	-17.44
77	114.57	14.20	33.56	2.67	0.21	10.14	-17.44
78	114.57	14.20	33.56	2.67	0.21	10.14	12.83
79	114.57	14.20	33.56	2.67	0.21	11.67	12.83
80	114.57	14.20	33.56	2.67	0.26	10.14	-17.44
81	114.57	14.20	33.56	2.67	0.26	10.14	12.83
82	114.57	14.20	33.56	2.67	0.26	11.67	-17.44
83	114.57	14.20	33.56	2.67	0.26	11.67	12.83
84	114.57	14.20	33.56	2.67	0.32	11.67	-17.44
85	114.57	14.20	33.56	2.67	0.32	11.67	12.83
86	114.57	14.20	35.25	2.67	0.16	8.61	12.83
87	114.57	14.20	35.25	2.67	0.16	10.14	12.83
88	114.57	14.20	35.25	2.67	0.21	8.61	-47.71
89	114.57	14.20	35.25	2.67	0.21	10.14	-47.71
90	114.57	14.20	35.25	2.67	0.21	10.14	-17.44
91	114.57	14.20	35.25	2.67	0.26	10.14	12.83
92	114.57	14.20	35.25	2.67	0.26	11.67	12.83
93	114.57	85.33	33.56	2.67	0.16	8.61	-17.44
94	114.57	85.33	33.56	2.67	0.16	8.61	12.83
95	114.57	85.33	33.56	2.67	0.16	10.14	-17.44
96	114.57	85.33	33.56	2.67	0.21	8.61	-17.44
97	114.57	85.33	33.56	2.67	0.21	10.14	-17.44
98	114.57	85.33	33.56	2.67	0.21	10.14	12.83
99	114.57	85.33	33.56	2.67	0.21	11.67	12.83
100	114.57	85.33	33.56	2.67	0.26	10.14	-17.44
101	114.57	85.33	33.56	2.67	0.26	10.14	12.83
102	114.57	85.33	33.56	2.67	0.26	11.67	-17.44
103	114.57	85.33	33.56	2.67	0.26	11.67	12.83
104	114.57	85.33	35.25	2.67	0.21	10.14	-17.44
105	114.57	85.33	35.25	2.67	0.21	10.14	12.83
106	114.57	85.33	35.25	2.67	0.26	10.14	12.83
107	114.57	85.33	35.25	2.67	0.26	11.67	12.83
108	155.96	-56.94	33.56	2.67	0.26	11.67	-17.44
109	155.96	-56.94	35.25	2.67	0.21	8.61	-47.71
110	155.96	14.20	33.56	2.67	0.16	10.14	-17.44
111	155.96	14.20	33.56	2.67	0.21	10.14	-17.44
112	155.96	14.20	33.56	2.67	0.21	10.14	12.83
113	155.96	14.20	33.56	2.67	0.21	11.67	-17.44
114	155.96	14.20	33.56	2.67	0.26	10.14	-17.44
115	155.96	14.20	33.56	2.67	0.26	10.14	12.83
116	155.96	14.20	33.56	2.67	0.26	11.67	-17.44
117	155.96	14.20	33.56	2.67	0.26	11.67	12.83
118	155.96	14.20	35.25	2.67	0.21	10.14	-47.71
119	155.96	14.20	35.25	2.67	0.21	10.14	-17.44
120	155.96	14.20	35.25	2.67	0.26	8.61	-47.71
121	155.96	85.33	33.56	2.67	0.21	10.14	-17.44
122	197.34	14.20	33.56	2.67	0.21	10.14	-17.44
123	197.34	14.20	33.56	2.67	0.21	10.14	12.83
124	197.34	14.20	33.56	2.67	0.21	11.67	-17.44
125	197.34	14.20	33.56	2.67	0.26	10.14	-17.44
126	197.34	14.20	33.56	2.67	0.26	11.67	-17.44
127	238.73	14.20	33.56	2.67	0.21	10.14	-17.44
128	31.80	14.20	33.56	7.61	0.26	10.14	-17.44
129	31.80	-56.94	33.56	7.61	0.16	7.08	-47.71
130	31.80	-56.94	33.56	7.61	0.16	8.61	-47.71
131	31.80	-56.94	35.25	7.61	0.16	8.61	-47.71
132	31.80	-56.94	35.25	7.61	0.21	10.14	-47.71
133	31.80	-56.94	35.25	7.61	0.26	10.14	-47.71
134	31.80	-56.94	35.25	7.61	0.26	10.14	-17.44
135	31.80	14.20	31.88	7.61	0.10	7.08	-17.44
136	31.80	14.20	31.88	7.61	0.10	8.61	-17.44
137	31.80	14.20	31.88	7.61	0.16	7.08	-17.44
138	31.80	14.20	31.88	7.61	0.16	8.61	-17.44
139	31.80	14.20	31.88	7.61	0.16	8.61	12.83
140	31.80	14.20	33.56	7.61	0.10	7.08	-47.71
141	31.80	14.20	33.56	7.61	0.10	7.08	-17.44
142	31.80	14.20	33.56	7.61	0.10	7.08	12.83
143	31.80	14.20	33.56	7.61	0.10	8.61	-17.44
144	31.80	14.20	33.56	7.61	0.16	7.08	-47.71
145	31.80	14.20	33.56	7.61	0.16	7.08	-17.44
146	31.80	14.20	33.56	7.61	0.16	7.08	12.83
147	31.80	14.20	33.56	7.61	0.16	8.61	-47.71
148	31.80	14.20	33.56	7.61	0.16	8.61	-17.44
149	31.80	14.20	33.56	7.61	0.16	8.61	12.83
150	31.80	14.20	33.56	7.61	0.16	10.14	-17.44
151	31.80	14.20	33.56	7.61	0.21	8.61	-47.71
152	31.80	14.20	33.56	7.61	0.21	10.14	-47.71
153	31.80	14.20	33.56	7.61	0.21	10.14	-17.44
154	31.80	14.20	35.25	7.61	0.16	8.61	-47.71
155	31.80	14.20	35.25	7.61	0.21	8.61	-47.71
156	31.80	14.20	35.25	7.61	0.21	10.14	-47.71
157	31.80	85.33	31.88	7.61	0.16	8.61	-47.71
158	31.80	85.33	31.88	7.61	0.16	8.61	-17.44
159	31.80	85.33	33.56	7.61	0.10	7.08	-47.71
160	31.80	85.33	33.56	7.61	0.10	7.08	-17.44
161	31.80	85.33	33.56	7.61	0.10	8.61	-47.71
162	31.80	85.33	33.56	7.61	0.10	8.61	-17.44
163	31.80	85.33	33.56	7.61	0.16	8.61	-47.71
164	31.80	85.33	33.56	7.61	0.16	8.61	-17.44
165	31.80	85.33	33.56	7.61	0.16	8.61	12.83
166	31.80	85.33	35.25	7.61	0.10	7.08	-17.44
167	31.80	85.33	35.25	7.61	0.10	8.61	-47.71
168	73.19	-56.94	33.56	7.61	0.16	8.61	-17.44
169	73.19	-56.94	33.56	7.61	0.21	8.61	-17.44
170	73.19	-56.94	33.56	7.61	0.26	10.14	-17.44
171	73.19	-56.94	35.25	7.61	0.16	8.61	-47.71
172	73.19	-56.94	35.25	7.61	0.16	8.61	-17.44
173	73.19	-56.94	35.25	7.61	0.21	10.14	-47.71
174	73.19	-56.94	35.25	7.61	0.21	10.14	-17.44
175	73.19	-56.94	35.25	7.61	0.26	10.14	-17.44
176	73.19	-56.94	35.25	7.61	0.26	11.67	-17.44
177	73.19	14.20	31.88	7.61	0.16	8.61	-17.44
178	73.19	14.20	31.88	7.61	0.16	8.61	12.83
179	73.19	14.20	33.56	7.61	0.10	8.61	-17.44
180	73.19	14.20	33.56	7.61	0.16	8.61	-47.71
181	73.19	14.20	33.56	7.61	0.16	8.61	-17.44
182	73.19	14.20	33.56	7.61	0.16	8.61	12.83
183	73.19	14.20	33.56	7.61	0.16	10.14	-17.44
184	73.19	14.20	33.56	7.61	0.16	10.14	12.83
185	73.19	14.20	33.56	7.61	0.21	8.61	-17.44
186	73.19	14.20	33.56	7.61	0.21	8.61	12.83
187	73.19	14.20	33.56	7.61	0.21	10.14	-17.44
188	73.19	14.20	33.56	7.61	0.21	10.14	12.83
189	73.19	14.20	33.56	7.61	0.21	11.67	-17.44
190	73.19	14.20	33.56	7.61	0.26	10.14	-17.44
191	73.19	14.20	33.56	7.61	0.26	11.67	-17.44
192	73.19	14.20	35.25	7.61	0.10	8.61	-17.44
193	73.19	14.20	35.25	7.61	0.16	8.61	-47.71
194	73.19	14.20	35.25	7.61	0.16	8.61	-17.44
195	73.19	14.20	35.25	7.61	0.16	10.14	-17.44
196	73.19	14.20	35.25	7.61	0.16	10.14	12.83
197	73.19	14.20	35.25	7.61	0.21	8.61	-17.44
198	73.19	14.20	35.25	7.61	0.21	10.14	-47.71
199	73.19	14.20	35.25	7.61	0.21	10.14	-17.44
200	73.19	14.20	35.25	7.61	0.21	11.67	-17.44
201	73.19	14.20	35.25	7.61	0.26	11.67	-17.44
202	73.19	85.33	33.56	7.61	0.10	8.61	-47.71
203	73.19	85.33	33.56	7.61	0.10	8.61	-17.44
204	73.19	85.33	33.56	7.61	0.16	8.61	-47.71
205	73.19	85.33	33.56	7.61	0.16	8.61	-17.44
206	73.19	85.33	33.56	7.61	0.16	8.61	12.83
207	73.19	85.33	33.56	7.61	0.16	10.14	-17.44
208	73.19	85.33	33.56	7.61	0.16	10.14	12.83
209	73.19	85.33	33.56	7.61	0.21	8.61	-17.44
210	73.19	85.33	33.56	7.61	0.21	10.14	-17.44
211	73.19	85.33	33.56	7.61	0.21	10.14	12.83
