Case No.	hb (m)	q* (W/m2)	T (C)	tau (N/m2)	u10 (m/s)	dfCO2 (umol)	Ddc(DIC)/dt (umol/(kg s))	DpH
1	31.8	-56.94	2.67	0.16	8.61	-17.44	-0.01426	2.06E-12
2	31.8	-56.94	2.67	0.1	7.08	-17.44	-0.25419	-3.17E-12
4	31.8	14.2	2.67	0.1	7.08	-47.71	0.10254	-7.47E-12
5	31.8	14.2	2.67	0.1	8.61	-47.71	-0.02664	-2.40E-13
6	31.8	14.2	2.67	0.1	8.61	-17.44	-0.02994	-5.39E-12
7	31.8	14.2	2.67	0.16	7.08	-47.71	-0.00022	-1.11E-13
8	31.8	14.2	2.67	0.16	7.08	12.83	0.00017	2.48E-12
9	31.8	14.2	2.67	0.16	8.61	-47.71	0.08386	1.82E-12
10	31.8	14.2	2.67	0.16	8.61	-17.44	0.08306	1.66E-12
11	31.8	14.2	2.67	0.16	8.61	12.83	0.08065	4.55E-12
12	31.8	14.2	2.67	0.1	7.08	-17.44	0.10446	-4.00E-12
13	31.8	14.2	2.67	0.16	7.08	-17.44	-0.00033	-4.09E-13
17	31.8	14.2	2.67	0.21	8.61	-47.71	0.05853	4.37E-12
18	31.8	14.2	2.67	0.21	8.61	-17.44	0.05643	3.42E-12
19	31.8	85.33	2.67	0.16	8.61	-47.71	0.24086	1.29E-12
21	31.8	85.33	2.67	0.1	7.08	-47.71	0.10914	-5.03E-12
24	31.8	85.33	2.67	0.26	8.61	-47.71	0.13996	7.05E-13
25	73.19	-56.94	2.67	0.16	8.61	-47.71	-0.04427	-2.22E-14
27	73.19	14.2	2.67	0.21	8.61	-17.44	0.01820	3.02E-14
28	73.19	14.2	2.67	0.16	8.61	-47.71	0.14383	3.16E-12
29	73.19	14.2	2.67	0.16	8.61	-17.44	0.14523	2.34E-13
30	73.19	14.2	2.67	0.16	8.61	12.83	0.14352	1.01E-12
31	73.19	14.2	2.67	0.16	10.14	-17.44	0.08783	-4.03E-13
32	73.19	14.2	2.67	0.16	10.14	12.83	0.08996	7.96E-12
35	73.19	14.2	2.67	0.21	10.14	-17.44	0.06025	-9.26E-13
36	73.19	14.2	2.67	0.21	10.14	12.83	0.06080	1.36E-12
37	73.19	14.2	2.67	0.21	11.67	12.83	0.06237	5.01E-13
38	73.19	14.2	2.67	0.26	10.14	-17.44	0.07061	9.82E-13
39	73.19	14.2	2.67	0.26	10.14	12.83	0.06985	1.35E-12
40	73.19	14.2	2.67	0.26	11.67	-17.44	0.10899	2.07E-12
41	73.19	14.2	2.67	0.26	11.67	12.83	0.10669	1.60E-12
43	73.19	14.2	2.67	0.32	11.67	12.83	0.17899	-2.82E-13
44	73.19	14.2	2.67	0.1	8.61	-47.71	0.01271	-6.76E-12
52	73.19	85.33	2.67	0.1	8.61	-17.44	0.04162	-1.10E-11
53	73.19	85.33	2.67	0.1	8.61	12.83	0.03794	-6.41E-12
54	73.19	85.33	2.67	0.16	8.61	-17.44	0.03545	3.44E-12
56	73.19	85.33	2.67	0.16	10.14	-17.44	0.05450	4.64E-12
57	73.19	85.33	2.67	0.16	10.14	12.83	0.05700	3.58E-12
58	73.19	85.33	2.67	0.21	10.14	-17.44	0.03690	8.63E-13
59	73.19	85.33	2.67	0.21	10.14	12.83	0.03538	-3.96E-12
60	73.19	85.33	2.67	0.21	11.67	12.83	0.06067	1.03E-12
61	73.19	85.33	2.67	0.26	10.14	-17.44	0.07599	8.06E-13
62	73.19	85.33	2.67	0.26	10.14	12.83	0.07372	-2.70E-12
63	73.19	85.33	2.67	0.26	11.67	-17.44	0.02383	-4.41E-12
64	73.19	85.33	2.67	0.26	11.67	12.83	0.01743	2.13E-12
69	114.57	-56.94	2.67	0.16	10.14	-17.44	0.08448	-4.65E-13
70	114.57	-56.94	2.67	0.16	8.61	-47.71	-0.00868	-4.69E-12
71	114.57	-56.94	2.67	0.21	8.61	-47.71	0.09152	-2.85E-12
72	114.57	14.2	2.67	0.16	8.61	-17.44	0.11541	-6.70E-12
73	114.57	14.2	2.67	0.16	8.61	12.83	0.11685	-1.83E-12
74	114.57	14.2	2.67	0.16	10.14	-17.44	0.06724	-9.78E-13
75	114.57	14.2	2.67	0.16	10.14	12.83	0.06931	1.84E-12
77	114.57	14.2	2.67	0.21	10.14	-17.44	0.06536	4.01E-12
80	114.57	14.2	2.67	0.26	10.14	-17.44	0.04660	-2.40E-12
81	114.57	14.2	2.67	0.26	10.14	12.83	0.04945	2.41E-12
82	114.57	14.2	2.67	0.26	11.67	-17.44	0.06110	-4.78E-12
83	114.57	14.2	2.67	0.26	11.67	12.83	0.05960	8.87E-13
84	114.57	14.2	2.67	0.32	11.67	-17.44	0.10636	-4.45E-12
85	114.57	14.2	2.67	0.32	11.67	12.83	0.10466	-1.42E-14
88	114.57	14.2	2.67	0.21	8.61	-47.71	0.12077	-2.75E-12
89	114.57	14.2	2.67	0.21	10.14	-47.71	0.06638	-3.88E-12
93	114.57	85.33	2.67	0.16	8.61	-17.44	-0.01779	3.93E-12
94	114.57	85.33	2.67	0.16	8.61	12.83	-0.02039	2.83E-12
95	114.57	85.33	2.67	0.16	10.14	-17.44	0.10186	1.34E-13
96	114.57	85.33	2.67	0.21	8.61	-17.44	0.03608	-2.10E-12
97	114.57	85.33	2.67	0.21	10.14	-17.44	-0.00165	1.14E-12
98	114.57	85.33	2.67	0.21	10.14	12.83	-0.00466	1.55E-12
99	114.57	85.33	2.67	0.21	11.67	12.83	0.12333	2.19E-12
100	114.57	85.33	2.67	0.26	10.14	-17.44	0.11142	-4.43E-12
101	114.57	85.33	2.67	0.26	10.14	12.83	0.11073	-2.23E-12
102	114.57	85.33	2.67	0.26	11.67	-17.44	0.05940	-2.92E-12
103	114.57	85.33	2.67	0.26	11.67	12.83	0.06003	2.75E-12
108	155.96	-56.94	2.67	0.26	11.67	-17.44	-0.01898	-1.11E-12
109	155.96	-56.94	2.67	0.21	8.61	-47.71	0.01723	-3.34E-12
110	155.96	14.2	2.67	0.16	10.14	-17.44	-0.03903	2.63E-12
111	155.96	14.2	2.67	0.21	10.14	-17.44	-0.03541	5.90E-12
112	155.96	14.2	2.67	0.21	10.14	12.83	-0.03430	6.23E-12
113	155.96	14.2	2.67	0.21	11.67	-17.44	-0.08985	-1.45E-12
114	155.96	14.2	2.67	0.26	10.14	-17.44	-0.01740	1.85E-12
115	155.96	14.2	2.67	0.26	10.14	12.83	-0.01748	2.66E-12
116	155.96	14.2	2.67	0.26	11.67	-17.44	0.13443	-4.80E-12
117	155.96	14.2	2.67	0.26	11.67	12.83	0.13522	-3.57E-12
118	155.96	14.2	2.67	0.21	10.14	-47.71	-0.03744	2.06E-12
120	155.96	14.2	2.67	0.26	8.61	-47.71	0.05720	-4.24E-12
121	155.96	85.33	2.67	0.21	10.14	-17.44	0.04296	7.02E-13
122	197.34	14.2	2.67	0.21	10.14	-17.44	0.02257	-2.36E-12
123	197.34	14.2	2.67	0.21	10.14	12.83	0.04513	-4.18E-12
124	197.34	14.2	2.67	0.21	11.67	-17.44	-0.04152	-1.46E-12
125	197.34	14.2	2.67	0.26	10.14	-17.44	0.07119	4.16E-12
126	197.34	14.2	2.67	0.26	11.67	-17.44	-0.11393	-2.39E-12
127	238.73	14.2	2.67	0.21	10.14	-17.44	0.02423	-1.98E-12
128	31.8	14.2	7.61	0.26	10.14	-17.44	-0.08679	-1.37E-12
129	31.8	-56.94	7.61	0.16	7.08	-47.71	0.06281	5.47E-12
130	31.8	-56.94	7.61	0.16	8.61	-47.71	0.09835	-1.89E-12
132	31.8	-56.94	7.61	0.21	10.14	-47.71	0.18676	3.94E-12
133	31.8	-56.94	7.61	0.26	10.14	-47.71	0.05729	-5.48E-12
134	31.8	-56.94	7.61	0.26	10.14	-17.44	0.06222	-3.49E-12
135	31.8	14.2	7.61	0.1	7.08	-17.44	0.03763	-2.33E-13
136	31.8	14.2	7.61	0.1	8.61	-17.44	0.08237	5.51E-12
